Melyik évben említik először Atád nevét írásos források?,1190-ben.
Milyen eredetű Nagyatád nevében az 'Ata' szó?,"Török eredetű, jelentése: 'atya'."
Ki adományozott először mezővárosi rangot Atádnak 1475-ben?,Hunyadi Mátyás király.
Hány házat számláltak össze Atádon az 1554-es török adójegyzékekben?,Mindössze 8 házat.
Milyen nemzetiségű telepesek érkeztek a városba a török hódoltság után a 18. században?,Horvát és vend telepesek.
Melyik uralkodó erősítette meg a település mezővárosi rangját 1744-ben?,Mária Terézia.
Melyik évben és napon kapta vissza Nagyatád a városi rangját a 20. században?,1971. április 25-én.
Melyik szerzetesrend játszott meghatározó szerepet a város 18. századi újjáépítésében?,A ferences rend.
Melyik évben fedezték fel a nagyatádi gyógyvizet egy artézi kút fúrása közben?,1906-ban.
Milyen mélységből tör fel a nagyatádi gyógyvíz?,$410 \text{ méter}$ mélyről.
Kémiai összetétele alapján milyen típusú a nagyatádi ásványvíz?,Nátrium-hidrogénkarbonátos ásványvíz.
Mennyi a nagyatádi gyógyvíz összes oldott ásványianyag-tartalma literenként?,$1424 \text{ mg/liter}$.
A gyógyvíz melyik összetevője felelős elsősorban a bőr- és ízületregeneráló hatásért?,"A metakovasav ($34,0 \text{ mg/liter}$)."
Milyen emésztőrendszeri panaszokra javasolt a nagyatádi víz ivókúraként?,"Gyomorsavtúltengés, epebántalmak és székrekedés esetén."
Milyen hőfokú gyógymedencék találhatók a Termál- és Gyógyfürdő beltéri részében?,"$32, 38 \text{ és } 42 \text{ }^{\circ}C$-osak."
Melyik elismerést nyerte el a fürdő 2007-ben?,Az 'Örökségünk – Somogyország Kincse' címet.
Hol található a város központi Gyógyfürdője?,A Széchenyi tér parkjában.
Mekkora területen fekszik a Nagyatádi Városi Termál Strandfürdő?,"Hat hektáros, ligetes területen."
Milyen sportmedencével rendelkezik a nagyatádi strand?,"Egy 8 pályás, feszített víztükrű, $50 \text{ méteres}$ versenymedencével."
Melyik évben tartotta első alkotóidényét a Nemzetközi Faszobrász Alkotótelep?,1975-ben.
Ki volt a Nagyatádi Nemzetközi Faszobrász Alkotótelep kezdeményezője és szakmai vezetője?,Bencsik István Kossuth-díjas szobrászművész.
Körülbelül hány nagyméretű faplasztika található jelenleg a Szoborparkban?,Közel 60 szobor.
